sentence1,sentence2,score
Dün akşam yağmur yağdığı için pikniği iptal ettik.,Hava kötü olunca piknik planımız suya düştü.,4.6
İstanbul'da trafik her gün biraz daha kötüleşiyor.,Şehirdeki araç yoğunluğu giderek artıyor.,4.2
Kedim sabahları mutlaka pencere kenarına oturup dışarıyı izler.,Her sabah kedim camın önüne geçip sokağı seyrediyor.,4.8
Yarınki toplantı saat 10'da başlayacak.,Toplantının başlama saati yarın sabah 10 olarak belirlendi.,4.8
Çocuklar parkta futbol oynuyordu.,Bir grup çocuk dışarıda top peşinde koşturuyordu.,4.2
Bu kitabı okumak beni çok etkiledi.,Okuduğum roman üzerimde derin bir iz bıraktı.,4.4
Anneannem her pazar zeytinyağlı yaprak sarma yapar.,Pazar günleri evde geleneksel yemekler pişirilir.,3.2
"Bilgisayarım çok yavaşladı, format atmam gerekiyor.","Telefonumun ekranı kırıldı, servise götürmem lazım.",1.2
Ankara'da kış aylarında hava çok soğuk olur.,Başkentte kışın sıcaklıklar sıfırın altına düşer.,4.6
Magibu eğitimi için STS veri seti ödevi hazırlıyorum.,Yapay zeka kursundaki ödev için cümle çiftleri oluşturuyorum.,4.0
Türkiye'nin nüfusu 85 milyonu geçti.,Ülkedeki insan sayısı 85 milyonun üzerine çıktı.,4.8
Dün gece geç saatlere kadar ders çalıştım.,Sınavlara hazırlanmak için gece boyunca kitap okudum.,3.8
Elektrikli araçlar çevreye daha az zarar veriyor.,Fosil yakıtlı araçlara kıyasla elektrikli otomobiller daha temiz.,4.6
Maçta son dakika golüyle kazandık.,Beşiktaş dün akşam Fenerbahçe'yi yendi.,1.8
Tatilde denize girmek için Antalya'ya gittik.,Yaz tatilinde Akdeniz kıyısında vakit geçirdik.,4.0
Adam marketten ekmek ve süt aldı.,Bir kişi bakkaldan alışveriş yapıyordu.,3.6
Deprem bölgesine yardım malzemesi gönderildi.,Afet sonrası bölgeye insani yardım ulaştırıldı.,4.8
"Bugün hava 38 derece, bunaltıcı bir sıcak var.",Yazın ortasında Samsun'de nem oranı çok yüksek.,2.4
Öğrenciler sınıfta sessizce sınav çözüyordu.,Çocuklar bahçede gürültülü bir şekilde oynuyordu.,0.6
Bu restoranda yemekler çok lezzetli ama fiyatlar biraz pahalı.,Yeni açılan kafede kahveler güzel ama mekan çok kalabalık.,1.6
