sentence1,sentence2,score
yemek çok acı olduğu için yemeği yiyemedim.,Yemek o kadar acıydı ki tadını alamadım., nan
pencereyi açtım çünkü odada çok sıcak vardı.,Oda çok sıcak olduğu için pencereyi açmak zorunda kaldım., nan
bardağa su doldurdum., bardağa su ekledim., nan
perşembe günü binada nöbet tutulacak., binada perşembe günü nöbetçi olacak., nan
yarın kayrayla beraber kitap okuyacağız., sonraki gün kayrayla birlikte kitap okuyacağız., nan
tabağımda ki yemek çok lezzetliydi., dün sular evde sular yoktu., nan
hayat güzel mutluyum şu sıralar., sabah hava güzel esiyordu., nan
tencereden yemek aldım., tencereden yemek koydum., nan
bugün sporda çok yoruldum., bugün spor salonunda çok yorgun düştüm., nan
öğünlerimi sabahtan hazırladım., sabah günlük yemeklerimi hazırladım., nan
dün gece uykumu alamadım., dün gece uyuyamadım., nan
ilaçlarımı düzenli olarak aldım., ilaçlarımı aksatmadan kullandım., nan
parfümün çok güzel kokuyor., peçeteyle masayı sildi., nan
tekelleşmeye karşı mücadele etmeliyiz., tekelleşmeye karşı savaşmalıyız., nan
sistem çöktü ve işler aksadı., sistem çöktüğü için işler aksadı., nan
telefonumun şarjı bittiği için sana haber veremedim., yeni bir telefon şarj aleti almam gerekiyor., nan
hava yağmurlu olduğu için yürüyüşe çıkmadım., bugün hava çok soğuk ve yağmurluydu., nan
sınava çalışmak için kütüphaneye gittim., kütüphanede bütün gün ders çalıştım., nan
dün akşam izlediğimiz bilim kurgu filmi çok sıkıcıydı., dün geceki film beklediğim kadar heyecanlı değildi., nan
