sentence1,sentence2,score
yemek çok acı olduğu için yemeği yiyemedim.,Yemek o kadar acıydı ki tadını alamadım.,4.0
pencereyi açtım çünkü odada çok sıcak vardı.,Oda çok sıcak olduğu için pencereyi açmak zorunda kaldım.,5.0
bardağa su doldurdum.,bardağa su ekledim.,5.0
perşembe günü binada nöbet tutulacak.,binada perşembe günü nöbetçi olacak.,5.0
yarın kayrayla beraber kitap okuyacağız.,sonraki gün kayrayla birlikte kitap okuyacağız.,5.0
tabağımda ki yemek çok lezzetliydi.,dün sular evde sular yoktu.,0.0
hayat güzel mutluyum şu sıralar.,sabah hava güzel esiyordu.,0.0
tencereden yemek aldım.,tencereden yemek koydum.,3.0
bugün sporda çok yoruldum.,bugün spor salonunda çok yorgun düştüm.,4.0
öğünlerimi sabahtan hazırladım.,sabah günlük yemeklerimi hazırladım.,4.0
dün gece uykumu alamadım.,dün gece uyuyamadım.,4.0
ilaçlarımı düzenli olarak aldım.,ilaçlarımı aksatmadan kullandım.,5.0
parfümün çok güzel kokuyor.,peçeteyle masayı sildi.,0.0
tekelleşmeye karşı mücadele etmeliyiz.,tekelleşmeye karşı savaşmalıyız.,5.0
sistem çöktü ve işler aksadı.,sistem çöktüğü için işler aksadı.,5.0
telefonumun şarjı bittiği için sana haber veremedim.,yeni bir telefon şarj aleti almam gerekiyor.,2.0
hava yağmurlu olduğu için yürüyüşe çıkmadım.,bugün hava çok soğuk ve yağmurluydu.,3.0
sınava çalışmak için kütüphaneye gittim.,kütüphanede bütün gün ders çalıştım.,4.0
dün akşam izlediğimiz bilim kurgu filmi çok sıkıcıydı.,dün geceki film beklediğim kadar heyecanlı değildi.,4.0
Dün akşam yağmur yağdığı için pikniği iptal ettik.,Hava kötü olunca piknik planımız suya düştü.,5.0
İstanbul'da trafik her gün biraz daha kötüleşiyor.,Şehirdeki araç yoğunluğu giderek artıyor.,4.0
Kedim sabahları mutlaka pencere kenarına oturup dışarıyı izler.,Her sabah kedim camın önüne geçip sokağı seyrediyor.,5.0
Yarınki toplantı saat 10'da başlayacak.,Toplantının başlama saati yarın sabah 10 olarak belirlendi.,5.0
Çocuklar parkta futbol oynuyordu.,Bir grup çocuk dışarıda top peşinde koşturuyordu.,4.0
Bu kitabı okumak beni çok etkiledi.,Okuduğum roman üzerimde derin bir iz bıraktı.,4.0
Anneannem her pazar zeytinyağlı yaprak sarma yapar.,Pazar günleri evde geleneksel yemekler pişirilir.,3.0
"Bilgisayarım çok yavaşladı, format atmam gerekiyor.","Telefonumun ekranı kırıldı, servise götürmem lazım.",1.0
Ankara'da kış aylarında hava çok soğuk olur.,Başkentte kışın sıcaklıklar sıfırın altına düşer.,4.0
Magibu eğitimi için STS veri seti ödevi hazırlıyorum.,Yapay zeka kursundaki ödev için cümle çiftleri oluşturuyorum.,2.0
Türkiye'nin nüfusu 85 milyonu geçti.,Ülkedeki insan sayısı 85 milyonun üzerine çıktı.,5.0
Dün gece geç saatlere kadar ders çalıştım.,Sınavlara hazırlanmak için gece boyunca kitap okudum.,4.0
Elektrikli araçlar çevreye daha az zarar veriyor.,Fosil yakıtlı araçlara kıyasla elektrikli otomobiller daha temiz.,5.0
Maçta son dakika golüyle kazandık.,Beşiktaş dün akşam Fenerbahçe'yi yendi.,2.0
Tatilde denize girmek için Antalya'ya gittik.,Yaz tatilinde Akdeniz kıyısında vakit geçirdik.,4.0
Adam marketten ekmek ve süt aldı.,Bir kişi bakkaldan alışveriş yapıyordu.,4.0
Deprem bölgesine yardım malzemesi gönderildi.,Afet sonrası bölgeye insani yardım ulaştırıldı.,5.0
"Bugün hava 38 derece, bunaltıcı bir sıcak var.",Yazın ortasında Samsun'de nem oranı çok yüksek.,1.0
Öğrenciler sınıfta sessizce sınav çözüyordu.,Çocuklar bahçede gürültülü bir şekilde oynuyordu.,0.0
Bu restoranda yemekler çok lezzetli ama fiyatlar biraz pahalı.,Yeni açılan kafede kahveler güzel ama mekan çok kalabalık.,2.0
Sabahları erken kalkıp koşuya çıkarım.,Güne erken başlayıp yürüyüş yapmayı severim.,4.0
